Dish Name,Serving Size,Calories,Protein (g),Carbs (g),Fats (g)
Paneer Butter Masala,1 serving,328,16,29,15
Chole Masala,1 serving,380,10,32,19
Chicken Biryani,1 serving,338,19,25,15
Aloo Gobi,1 serving,371,12,32,13
Dal Tadka,1 serving,338,16,29,13
Rogan Josh,1 serving,318,18,30,17
Masala Dosa,1 serving,375,13,23,11
Palak Paneer,1 serving,393,17,32,19
Idli Sambhar,1 serving,337,17,40,15
Butter Naan,1 serving,357,17,31,14
Pav Bhaji,1 serving,374,16,39,17
Samosa,1 serving,377,12,34,11
Matar Paneer,1 serving,338,12,27,17
Rajma Masala,1 serving,352,17,37,18
Chicken Tikka Masala,1 serving,356,18,35,20
Fish Curry,1 serving,385,15,21,12
Puri Bhaji,1 serving,316,15,23,15
Dhokla,1 serving,393,19,28,17
Upma,1 serving,354,11,35,13
Kadhi Pakora,1 serving,356,11,25,13
Baingan Bharta,1 serving,359,16,27,20
Bhindi Masala,1 serving,351,18,27,19
Chicken Korma,1 serving,364,20,31,15
Mutton Biryani,1 serving,333,16,22,15
Keema Pav,1 serving,377,16,20,20
Gulab Jamun,1 serving,316,18,27,17
Ras Malai,1 serving,363,20,36,12
Jalebi,1 serving,388,15,20,14
Lassi,1 serving,386,14,20,11
Chana Dal,1 serving,362,16,28,11
Moong Dal,1 serving,383,10,24,15
Prawn Curry,1 serving,309,12,33,19
Egg Curry,1 serving,395,14,30,13
Vegetable Pulao,1 serving,322,15,27,16
Malai Kofta,1 serving,314,12,24,20
Chicken Seekh Kebab,1 serving,300,10,40,14
Mutton Rogan Josh,1 serving,330,14,28,10
Vegetable Sambar,1 serving,382,10,22,20
Kheer,1 serving,378,10,26,10
Halwa,1 serving,335,19,20,15
Papdi Chaat,1 serving,350,17,20,16
Aloo Tikki,1 serving,391,16,27,15
Methi Paratha,1 serving,350,17,28,20
Lauki Kofta,1 serving,394,17,31,14
Chicken Shorba,1 serving,325,15,21,15
Pesarattu,1 serving,330,20,36,20
Prawn Biryani,1 serving,338,13,22,18
Fish Fry,1 serving,374,11,21,11
Mutton Saag,1 serving,346,13,34,12
Chicken Pakora,1 serving,366,11,36,20
Paneer Tikka,1 serving,358,14,25,13
Masala Chai,1 serving,367,20,30,13
Pav Sandwich,1 serving,300,12,33,14
Mutton Keema,1 serving,355,19,40,15
Vegetable Kurma,1 serving,379,13,40,11
Paneer Bhurji,1 serving,321,17,37,10
Pani Puri,1 serving,351,16,39,18
Chicken 65,1 serving,397,16,40,18
Mutton Biryani,1 serving,367,13,40,10
Vegetable Biryani,1 serving,391,19,36,17
Tomato Chutney,1 serving,341,17,22,13
Mint Chutney,1 serving,394,15,25,14
Vegetable Korma,1 serving,325,16,34,20
Egg Biryani,1 serving,304,10,31,18
Mixed Vegetable Curry,1 serving,370,18,23,16
Mutton Nihari,1 serving,309,13,26,11
Chicken Chettinad,1 serving,375,20,29,12
Dal Makhani,1 serving,335,13,25,14
Vegetable Pakora,1 serving,352,14,39,18
Aloo Paratha,1 serving,397,20,32,13
Chili Chicken,1 serving,390,15,25,20
Chicken Manchurian,1 serving,327,18,36,17
Chicken Vindaloo,1 serving,362,12,20,12
Goan Fish Curry,1 serving,379,11,24,20
Prawn Masala,1 serving,375,19,22,12
Chicken Kolhapuri,1 serving,347,20,24,10
Pork Vindaloo,1 serving,366,16,35,20
Chicken Cafreal,1 serving,338,12,40,15
Vegetable Stew,1 serving,343,19,26,18
Chutney Sandwich,1 serving,364,19,28,19
Sev Puri,1 serving,314,19,21,11
Pesarattu Upma,1 serving,386,12,24,10
Vegetable Cutlet,1 serving,323,15,22,19
Fish Tikka,1 serving,318,12,31,13
Paneer Pakora,1 serving,311,10,39,18
Chicken Malai Tikka,1 serving,314,17,30,14
Chicken Banjari,1 serving,300,13,38,11
Masoor Dal,1 serving,360,19,23,12
Chicken Mughlai,1 serving,321,18,28,19
Baida Roti,1 serving,391,20,38,13
Cheese Kulcha,1 serving,319,12,25,20
Mutton Kebab,1 serving,364,16,22,13
Fish Moilee,1 serving,368,12,30,20
Paneer Lababdar,1 serving,341,10,36,19
Chicken Jalfrezi,1 serving,324,20,34,12
Vegetable Handvo,1 serving,389,11,39,20
Chicken Bharta,1 serving,333,10,34,11
Chicken Saagwala,1 serving,399,20,34,20
Egg Bhurji,1 serving,358,14,39,19
Kolkata Biryani,1 serving,311,18,29,14
Chicken Roast,1 serving,304,20,28,18
Aloo Matar,1 serving,388,12,34,18
Vegetable Kofta Curry,1 serving,372,20,22,12
Prawn Malai Curry,1 serving,396,18,29,19
Mutton Korma,1 serving,343,10,27,19
Vegetable Dopiaza,1 serving,359,18,35,10
Paneer Jalfrezi,1 serving,337,18,33,16
Chicken Curry,1 serving,307,14,21,13
Tomato Rice,1 serving,360,14,36,10
Mutton Pulao,1 serving,390,11,23,11
Chicken Pulao,1 serving,383,16,31,11
Vegetable Pulao,1 serving,327,19,39,12
Chicken Rezala,1 serving,356,11,35,13
Chicken Hakka Noodles,1 serving,321,12,23,10
Vegetable Hakka Noodles,1 serving,336,18,28,17
Chicken Chowmein,1 serving,397,11,24,10
Vegetable Chowmein,1 serving,330,19,23,13
Chicken Sizzler,1 serving,375,20,22,11
Paneer Sizzler,1 serving,324,14,33,12
Chicken Lollipop,1 serving,341,18,38,12
Mutton Curry,1 serving,315,20,33,15
Vegetable Banjari,1 serving,377,18,20,10
Fish Curry,1 serving,391,11,25,17
Prawn Curry,1 serving,306,18,30,15
Prawn Fry,1 serving,342,20,36,17
Chicken Saag,1 serving,395,17,24,19
Mutton Saag,1 serving,372,10,27,14
Paneer Saag,1 serving,363,16,27,11
Aloo Baingan,1 serving,303,20,24,16
Vegetable Kadhai,1 serving,378,13,31,19
Chicken Kadhai,1 serving,360,18,26,16
Paneer Kadhai,1 serving,321,19,31,17
Chana Masala,1 serving,318,16,22,10
Fish Masala,1 serving,338,16,36,18
Mutton Masala,1 serving,329,11,39,17
Vegetable Masala,1 serving,394,11,24,17
Egg Masala,1 serving,400,17,39,12
